Categ;TípoProd;CodProd;DescProd;TipoGen;Caract
CE;RAM;1997706;RAM: 32 GB DDR4 3200 1600 MHz;RAM;32 GB DDR4 3200 1600 MHz
CE;RAM;1597791;RAM: 32 GB DDR4 3200 400 MHz;RAM;32 GB DDR4 3200 400 MHz
CE;RAM;2748535;RAM: 32 GB DDR4 3200 MHz;RAM;32 GB DDR4 3200 MHz
CE;RAM;1997709;RAM: 32 GB DDR4 4800 2400 MHz;RAM;32 GB DDR4 4800 2400 MHz
CE;RAM;1742147;RAM: 32 GB DDR5 4000 MHz;RAM;32 GB DDR5 4000 MHz
CE;RAM;2611053;RAM: 32 GB DDR5 4400 2200 MHz;RAM;32 GB DDR5 4400 2200 MHz
CE;RAM;1597782;RAM: 32 GB DDR5 4400 MHz;RAM;32 GB DDR5 4400 MHz
CE;RAM;1997698;RAM: 32 GB DDR5 4800 2400 MHz;RAM;32 GB DDR5 4800 2400 MHz
CE;RAM;1597770;RAM: 32 GB DDR5 4800 300 MHz;RAM;32 GB DDR5 4800 300 MHz
CE;RAM;1597832;RAM: 32 GB DDR5 4800 600 MHz;RAM;32 GB DDR5 4800 600 MHz
CE;RAM;1597829;RAM: 32 GB DDR5 5200 650 MHz;RAM;32 GB DDR5 5200 650 MHz
CE;RAM;2888910;RAM: 32 GB DDR5 5200 MHz;RAM;32 GB DDR5 5200 MHz
CE;RAM;2131866;RAM: 32 GB DDR5 5600 700 MHz;RAM;32 GB DDR5 5600 700 MHz
CE;RAM;1761817;RAM: 32 GB DDR5 5600 MHz;RAM;32 GB DDR5 5600 MHz
CE;RAM;1597830;RAM: 32 GB DDR5 6400 800 MHz;RAM;32 GB DDR5 6400 800 MHz
CE;ALMACENAMIENTO;1597030;ALMACENAMIENTO: 32 GB SSD;ALMACENAMIENTO;32 GB SSD
CE;ALMACENAMIENTO;1597877;ALMACENAMIENTO: 320 GB HDD 7200 RPM;ALMACENAMIENTO;320 GB HDD 7200 RPM
CE;G. F;1598019;G. F: 36 MESES CARRY-IN;G. F;36 MESES CARRY-IN
CE;G. F;1597111;G. F: 36 MESES CARRY-IN;G. F;36 MESES CARRY-IN
CE;G. F;1598018;G. F: 36 MESES ON-SITE;G. F;36 MESES ON-SITE
CE;G. F;1597112;G. F: 36 MESES ON-SITE;G. F;36 MESES ON-SITE
CE;RAM;1597819;RAM: 4 GB DDR3 1333 166 MHz;RAM;4 GB DDR3 1333 166 MHz
CE;RAM;1597818;RAM: 4 GB DDR3 1600 200 MHz;RAM;4 GB DDR3 1600 200 MHz
CE;RAM;1597015;RAM: 4 GB DDR3 1600 200 MHz;RAM;4 GB DDR3 1600 200 MHz
CE;RAM;1597007;RAM: 4 GB DDR3 2133 266 MHz;RAM;4 GB DDR3 2133 266 MHz
CE;RAM;1597018;RAM: 4 GB DDR3L 1066 133 MHz;RAM;4 GB DDR3L 1066 133 MHz
CE;RAM;1597805;RAM: 4 GB DDR3L 1333 166 MHz;RAM;4 GB DDR3L 1333 166 MHz
CE;RAM;1597006;RAM: 4 GB DDR3L 1333 166 MHz;RAM;4 GB DDR3L 1333 166 MHz
CE;RAM;1597809;RAM: 4 GB DDR3L 1600 200 MHz;RAM;4 GB DDR3L 1600 200 MHz
CE;RAM;1597010;RAM: 4 GB DDR3L 1600 200 MHz;RAM;4 GB DDR3L 1600 200 MHz
CE;RAM;1597813;RAM: 4 GB DDR4 2133 266 MHz;RAM;4 GB DDR4 2133 266 MHz
CE;RAM;1597017;RAM: 4 GB DDR4 2133 266 MHz;RAM;4 GB DDR4 2133 266 MHz
CE;RAM;1597808;RAM: 4 GB DDR4 2400 300 MHz;RAM;4 GB DDR4 2400 300 MHz
CE;RAM;1596999;RAM: 4 GB DDR4 2400 300 MHz;RAM;4 GB DDR4 2400 300 MHz
CE;RAM;1597793;RAM: 4 GB DDR4 2666 333 MHz;RAM;4 GB DDR4 2666 333 MHz
CE;RAM;1597772;RAM: 4 GB DDR4 2933 366 MHz;RAM;4 GB DDR4 2933 366 MHz
CE;RAM;1597784;RAM: 4 GB DDR4 3200 400 MHz;RAM;4 GB DDR4 3200 400 MHz
CE;RAM;1597773;RAM: 4 GB DDR5 4800 600 MHz;RAM;4 GB DDR5 4800 600 MHz
CE;RAM;1597016;RAM: 4 GB DRR3L 1066 133 MHz;RAM;4 GB DRR3L 1066 133 MHz
CE;RAM;1596998;RAM: 4 GB LPDDR4 2400 MHz;RAM;4 GB LPDDR4 2400 MHz
CE;ALMACENAMIENTO;1597859;ALMACENAMIENTO: 4 TB HDD 7200 RPM;ALMACENAMIENTO;4 TB HDD 7200 RPM
