"Categ";"CodCaract";"Caract";"CodValCaract";"ValCaract"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597492;"PROCESADOR: INTEL CORE I3-6100U"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597493;"PROCESADOR: AMD A4 PRO-7300B"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597494;"PROCESADOR: INTEL CORE I5-5500U"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597495;"PROCESADOR: INTEL CORE I7-6950X"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597496;"PROCESADOR: INTEL CORE I7-4790"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597497;"PROCESADOR: AMD SEMPRON 2650"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597498;"PROCESADOR: AMD A4-6300"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597499;"PROCESADOR: AMD A4-6300B"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597500;"PROCESADOR: AMD A8-6500B"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597501;"PROCESADOR: AMD FX-8320"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597502;"PROCESADOR: INTEL CORE I5-4690"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597503;"PROCESADOR: AMD A6-7400B"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597504;"PROCESADOR: AMD E1-2500"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597506;"PROCESADOR: INTEL CORE I7-6500U"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597507;"PROCESADOR: AMD ATHLON X4 860K"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597508;"PROCESADOR: INTEL CELERON G1840"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597509;"PROCESADOR: INTEL CORE I7-6900K"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597510;"PROCESADOR: INTEL CORE I3-7100"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597511;"PROCESADOR: INTEL CELERON G3900"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597512;"PROCESADOR: AMD A6-5400K"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597513;"PROCESADOR: INTEL CORE I5-6260U"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597514;"PROCESADOR: INTEL CELERON J1800"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597515;"PROCESADOR: INTEL CORE I3-4130"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597516;"PROCESADOR: INTEL PENTIUM G3240"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597517;"PROCESADOR: INTEL CORE I7-5775C"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597518;"PROCESADOR: INTEL CORE I5-6600K"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597519;"PROCESADOR: INTEL CORE I5-3470S"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597520;"PROCESADOR: INTEL CORE I7-4500U"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597521;"PROCESADOR: INTEL CORE I3-7300"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597522;"PROCESADOR: INTEL CORE I3-6600"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597523;"PROCESADOR: INTEL CORE I3-4170"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597524;"PROCESADOR: INTEL CORE I5-4440"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597525;"PROCESADOR: INTEL CORE I3-1115G4"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597526;"PROCESADOR: INTEL CORE I3-12100"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597527;"PROCESADOR: INTEL CORE I3-12100F"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597528;"PROCESADOR: INTEL CORE I3-1215U"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597529;"PROCESADOR: INTEL CORE I7-12700F"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597531;"PROCESADOR: INTEL CORE I5-12400F"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597532;"PROCESADOR: AMD RYZEN 3 PRO 4350GE"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597533;"PROCESADOR: INTEL CORE i9-11900F"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597534;"PROCESADOR: INTEL CORE i9-11900KF"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597535;"PROCESADOR: INTEL CORE i9-11900K"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597536;"PROCESADOR: INTEL CORE i7-11700"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597537;"PROCESADOR: INTEL CORE I7-4770K"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597538;"PROCESADOR: INTEL CORE I3-6100"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597539;"PROCESADOR: INTEL CORE I5-4590T"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597540;"PROCESADOR: INTEL CORE I7-6700T"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597541;"PROCESADOR: INTEL CORE I7-4770"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597542;"PROCESADOR: INTEL PENTIUM G3260"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597543;"PROCESADOR: INTEL PENTIUM G3250"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597544;"PROCESADOR: INTEL PENTIUM G3220"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597545;"PROCESADOR: AMD E1-6050"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597546;"PROCESADOR: AMD A4 PRO-8350B"
