"id";"CorrBas36";"CodigoCorrelativo";"Categ";"CodCaract";"Caract";"CodValCaract";"ValCaract";"CleanValCaract";"Serializd";"PreTextValOnly";"ValueOnly"
46;"1A";"000000001A";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26922;"LARGO";1720404;"LARGO: 100.45 MM";"LARGO: 100.45 MM";"LARGO: 100.45 MM";"LARGO";"100.45 MM"
47;"1B";"000000001B";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26922;"LARGO";1717928;"LARGO: 146 MM";"LARGO: 146 MM";"LARGO: 146 MM";"LARGO";"146 MM"
48;"1C";"000000001C";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26923;"ANCHO";1801775;"ANCHO: 69.95 MM";"ANCHO: 69.95 MM";"ANCHO: 69.95 MM";"ANCHO";"69.95 MM"
49;"1D";"000000001D";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26923;"ANCHO";2627698;"ANCHO: 69.90 MM";"ANCHO: 69.90 MM";"ANCHO: 69.90 MM";"ANCHO";"69.90 MM"
50;"1E";"000000001E";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26923;"ANCHO";1720408;"ANCHO: 22 MM";"ANCHO: 22 MM";"ANCHO: 22 MM";"ANCHO";"22 MM"
51;"1F";"000000001F";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26923;"ANCHO";1720407;"ANCHO: 69.85 MM";"ANCHO: 69.85 MM";"ANCHO: 69.85 MM";"ANCHO";"69.85 MM"
52;"1G";"000000001G";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26923;"ANCHO";1717930;"ANCHO: 101 MM";"ANCHO: 101 MM";"ANCHO: 101 MM";"ANCHO";"101 MM"
53;"1H";"000000001H";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26924;"ESPESOR";1717931;"ESPESOR: 25.4 MM";"ESPESOR: 25.4 MM";"ESPESOR: 25.4 MM";"ESPESOR";"25.4 MM"
54;"1I";"000000001I";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26924;"ESPESOR";1720411;"ESPESOR: 3.5 MM";"ESPESOR: 3.5 MM";"ESPESOR: 3.5 MM";"ESPESOR";"3.5 MM"
55;"1J";"000000001J";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26924;"ESPESOR";1720409;"ESPESOR: 7 MM";"ESPESOR: 7 MM";"ESPESOR: 7 MM";"ESPESOR";"7 MM"
56;"1K";"000000001K";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26924;"ESPESOR";2627701;"ESPESOR: 2.2 MM";"ESPESOR: 2.2 MM";"ESPESOR: 2.2 MM";"ESPESOR";"2.2 MM"
57;"1L";"000000001L";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26924;"ESPESOR";1720412;"ESPESOR: 3.13 MM";"ESPESOR: 3.13 MM";"ESPESOR: 3.13 MM";"ESPESOR";"3.13 MM"
58;"1M";"000000001M";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26925;"MATERIAL_DEL_EQUIPO";1717932;"MATERIAL: PLASTICO";"MATERIAL: PLASTICO";"MATERIAL: PLASTICO";"MATERIAL";"PLASTICO"
59;"1N";"000000001N";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26925;"MATERIAL_DEL_EQUIPO";1717933;"MATERIAL: METAL";"MATERIAL: METAL";"MATERIAL: METAL";"MATERIAL";"METAL"
60;"1O";"000000001O";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26925;"MATERIAL_DEL_EQUIPO";1720413;"MATERIAL: PLASTICO CON PCB (PLACA DE CIRCUITO IMPRESO)";"MATERIAL: PLASTICO CON PCB (PLACA DE CIRCUITO IMPRESO)";"MATERIAL: PLASTICO CON PCB (PLACA DE CIRCUITO IMPRESO)";"MATERIAL";"PLASTICO CON PCB (PLACA DE CIRCUITO IMPRESO)"
61;"1P";"000000001P";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26926;"FUENTE_DE_ELECTRICIDAD_VDC";1717934;"FUENTE ELECTRICIDAD: 5 VDC";"FUENTE ELECTRICIDAD: 5 VDC";"FUENTE ELECTRICIDAD: 5 VDC";"FUENTE DE ELECTRICIDAD";"5 VDC"
62;"1Q";"000000001Q";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26927;"TEMPERATURA_OPERATIVA";1717935;"TEMPERATURA OPERATIVA: DE 0°C A 70°C";"TEMPERATURA OPERATIVA: DE 0°C A 70°C";"TEMPERATURA OPERATIVA: DE 0°C A 70°C";"TEMPERATURA OPERATIVA";"DE 0°C A 70°C"
63;"1R";"000000001R";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26928;"TEMPERATURA_DE_ALMACENAMIENTO";1720415;"TEMPERATURA ALMACENAMIENTO: DE -40 °C a 85 °C";"TEMPERATURA ALMACENAMIENTO: DE -40 °C a 85 °C";"TEMPERATURA ALMACENAMIENTO: DE -40 °C a 85 °C";"TEMPERATURA ALMACENAMIENTO";"DE -40 °C a 85 °C"
64;"1S";"000000001S";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26929;"ALTURA_MAXIMA_DE_FUNCIONAMIENTO_MSNM";1720419;"ALTURA MAXIMA FUNCIONAMIENTO: 2000 MSNM";"ALTURA MAXIMA FUNCIONAMIENTO: 2000 MSNM";"ALTURA MAXIMA FUNCIONAMIENTO: 2000 MSNM";"ALTURA MAXIMA FUNCIONAMIENTO";"2000 MSNM"
65;"1T";"000000001T";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26930;"HUMEDAD_RELATIVA";1801776;"HUMEDAD RELATIVA: 58%";"HUMEDAD RELATIVA: 58%";"HUMEDAD RELATIVA: 58%";"HUMEDAD RELATIVA";58 %
66;"1U";"000000001U";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26930;"HUMEDAD_RELATIVA";1720421;"HUMEDAD RELATIVA: 93%";"HUMEDAD RELATIVA: 93%";"HUMEDAD RELATIVA: 93%";"HUMEDAD RELATIVA";93 %
67;"1V";"000000001V";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26931;"GARANTIA_DE_FABRICA";1717939;"G.F: 48 MESES CARRY IN";"G.F: 48 MESES CARRY IN";"G.F: 48 MESES CARRY IN";"G.F";"48 MESES CARRY IN"
68;"1W";"000000001W";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26931;"GARANTIA_DE_FABRICA";1717937;"G.F: 36 MESES CARRY IN";"G.F: 36 MESES CARRY IN";"G.F: 36 MESES CARRY IN";"G.F";"36 MESES CARRY IN"
69;"1X";"000000001X";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26932;"EMPAQUE_DE_FABRICA";1717947;"EMPAQUE: CAJA";"EMPAQUE: CAJA";"EMPAQUE: CAJA";"EMPAQUE";"CAJA"
70;"1Y";"000000001Y";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26932;"EMPAQUE_DE_FABRICA";1720668;"EMPAQUE: BLISTER";"EMPAQUE: BLISTER";"EMPAQUE: BLISTER";"EMPAQUE";"BLISTER"
