"id";"CorrBas36";"CodigoCorrelativo";"Categ";"CodCaract";"Caract";"CodValCaract";"ValCaract";"CleanValCaract";"Serializd";"PreTextValOnly";"ValueOnly"
3610;"2SA";"00000002SA";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679598;"PROCESADOR: INTEL CORE I3-10110Y";"PROCESADOR: INTEL CORE I3-10110Y";"PROCESADOR: INTEL CORE I3-10110Y";"PROCESADOR";"INTEL CORE I3-10110Y"
3611;"2SB";"00000002SB";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679599;"PROCESADOR: INTEL CORE I7-10710U";"PROCESADOR: INTEL CORE I7-10710U";"PROCESADOR: INTEL CORE I7-10710U";"PROCESADOR";"INTEL CORE I7-10710U"
3612;"2SC";"00000002SC";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679600;"PROCESADOR: INTEL CORE I3-10110U";"PROCESADOR: INTEL CORE I3-10110U";"PROCESADOR: INTEL CORE I3-10110U";"PROCESADOR";"INTEL CORE I3-10110U"
3613;"2SD";"00000002SD";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679601;"PROCESADOR: AMD RYZEN 5 4500U";"PROCESADOR: AMD RYZEN 5 4500U";"PROCESADOR: AMD RYZEN 5 4500U";"PROCESADOR";"AMD RYZEN 5 4500U"
3614;"2SE";"00000002SE";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679602;"PROCESADOR: AMD RYZEN 5 PRO 4650U";"PROCESADOR: AMD RYZEN 5 PRO 4650U";"PROCESADOR: AMD RYZEN 5 PRO 4650U";"PROCESADOR";"AMD RYZEN 5 PRO 4650U"
3615;"2SF";"00000002SF";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679603;"PROCESADOR: AMD RYZEN 7 4700U";"PROCESADOR: AMD RYZEN 7 4700U";"PROCESADOR: AMD RYZEN 7 4700U";"PROCESADOR";"AMD RYZEN 7 4700U"
3616;"2SG";"00000002SG";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679604;"PROCESADOR: INTEL CORE I5-1035 G1";"PROCESADOR: INTEL CORE I5-1035 G1";"PROCESADOR: INTEL CORE I5-1035 G1";"PROCESADOR";"INTEL CORE I5-1035 G1"
3617;"2SH";"00000002SH";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679605;"PROCESADOR: INTEL CELERON N3350";"PROCESADOR: INTEL CELERON N3350";"PROCESADOR: INTEL CELERON N3350";"PROCESADOR";"INTEL CELERON N3350"
3618;"2SI";"00000002SI";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679608;"PROCESADOR: AMD RYZEN 7 PRO 4750U";"PROCESADOR: AMD RYZEN 7 PRO 4750U";"PROCESADOR: AMD RYZEN 7 PRO 4750U";"PROCESADOR";"AMD RYZEN 7 PRO 4750U"
3619;"2SJ";"00000002SJ";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679609;"PROCESADOR: INTEL CORE I7-1065 G7";"PROCESADOR: INTEL CORE I7-1065 G7";"PROCESADOR: INTEL CORE I7-1065 G7";"PROCESADOR";"INTEL CORE I7-1065 G7"
3620;"2SK";"00000002SK";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679611;"PROCESADOR: INTEL CELERON N4020";"PROCESADOR: INTEL CELERON N4020";"PROCESADOR: INTEL CELERON N4020";"PROCESADOR";"INTEL CELERON N4020"
3621;"2SL";"00000002SL";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679612;"PROCESADOR: INTEL CORE I3-1005 G1";"PROCESADOR: INTEL CORE I3-1005 G1";"PROCESADOR: INTEL CORE I3-1005 G1";"PROCESADOR";"INTEL CORE I3-1005 G1"
3622;"2SM";"00000002SM";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679614;"PROCESADOR: AMD A6-9220C";"PROCESADOR: AMD A6-9220C";"PROCESADOR: AMD A6-9220C";"PROCESADOR";"AMD A6-9220C"
3623;"2SN";"00000002SN";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679615;"PROCESADOR: AMD A4-9120C";"PROCESADOR: AMD A4-9120C";"PROCESADOR: AMD A4-9120C";"PROCESADOR";"AMD A4-9120C"
3624;"2SO";"00000002SO";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679616;"PROCESADOR: AMD RYZEN 3 3300U";"PROCESADOR: AMD RYZEN 3 3300U";"PROCESADOR: AMD RYZEN 3 3300U";"PROCESADOR";"AMD RYZEN 3 3300U"
3625;"2SP";"00000002SP";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679617;"PROCESADOR: AMD RYZEN 5 PRO 3500U";"PROCESADOR: AMD RYZEN 5 PRO 3500U";"PROCESADOR: AMD RYZEN 5 PRO 3500U";"PROCESADOR";"AMD RYZEN 5 PRO 3500U"
3626;"2SQ";"00000002SQ";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679618;"PROCESADOR INTEL CELERON GEMINI LAKE N4020";"PROCESADOR: INTEL CELERON GEMINI LAKE N4020";"PROCESADOR: INTEL CELERON GEMINI LAKE N4020";"PROCESADOR";"INTEL CELERON GEMINI LAKE N4020"
3627;"2SR";"00000002SR";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679619;"PROCESADOR: AMD A4-4300M";"PROCESADOR: AMD A4-4300M";"PROCESADOR: AMD A4-4300M";"PROCESADOR";"AMD A4-4300M"
3628;"2SS";"00000002SS";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679620;"PROCESADOR: AMD A4-6210";"PROCESADOR: AMD A4-6210";"PROCESADOR: AMD A4-6210";"PROCESADOR";"AMD A4-6210"
3629;"2ST";"00000002ST";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679621;"PROCESADOR: AMD A6 PRO-7050B";"PROCESADOR: AMD A6 PRO-7050B";"PROCESADOR: AMD A6 PRO-7050B";"PROCESADOR";"AMD A6 PRO-7050B"
3630;"2SU";"00000002SU";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679622;"PROCESADOR: AMD A6 PRO-8500B";"PROCESADOR: AMD A6 PRO-8500B";"PROCESADOR: AMD A6 PRO-8500B";"PROCESADOR";"AMD A6 PRO-8500B"
3631;"2SV";"00000002SV";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679623;"PROCESADOR: AMD A6-1450";"PROCESADOR: AMD A6-1450";"PROCESADOR: AMD A6-1450";"PROCESADOR";"AMD A6-1450"
3632;"2SW";"00000002SW";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679624;"PROCESADOR: AMD A6-7000";"PROCESADOR: AMD A6-7000";"PROCESADOR: AMD A6-7000";"PROCESADOR";"AMD A6-7000"
3633;"2SX";"00000002SX";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679625;"PROCESADOR: AMD A8 PRO-7150B";"PROCESADOR: AMD A8 PRO-7150B";"PROCESADOR: AMD A8 PRO-7150B";"PROCESADOR";"AMD A8 PRO-7150B"
3634;"2SY";"00000002SY";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679626;"PROCESADOR: AMD A8 PRO-8600B";"PROCESADOR: AMD A8 PRO-8600B";"PROCESADOR: AMD A8 PRO-8600B";"PROCESADOR";"AMD A8 PRO-8600B"
3635;"2SZ";"00000002SZ";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679627;"PROCESADOR: AMD A8-5550M";"PROCESADOR: AMD A8-5550M";"PROCESADOR: AMD A8-5550M";"PROCESADOR";"AMD A8-5550M"
3636;"2T0";"00000002T0";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679628;"PROCESADOR: AMD A8-6410";"PROCESADOR: AMD A8-6410";"PROCESADOR: AMD A8-6410";"PROCESADOR";"AMD A8-6410"
3637;"2T1";"00000002T1";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679629;"PROCESADOR: AMD A8-7100";"PROCESADOR: AMD A8-7100";"PROCESADOR: AMD A8-7100";"PROCESADOR";"AMD A8-7100"
3638;"2T2";"00000002T2";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679630;"PROCESADOR: AMD A8-7410";"PROCESADOR: AMD A8-7410";"PROCESADOR: AMD A8-7410";"PROCESADOR";"AMD A8-7410"
3639;"2T3";"00000002T3";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679631;"PROCESADOR: AMD E1-2100";"PROCESADOR: AMD E1-2100";"PROCESADOR: AMD E1-2100";"PROCESADOR";"AMD E1-2100"
3640;"2T4";"00000002T4";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679632;"PROCESADOR: AMD E1-6010";"PROCESADOR: AMD E1-6010";"PROCESADOR: AMD E1-6010";"PROCESADOR";"AMD E1-6010"
3641;"2T5";"00000002T5";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679633;"PROCESADOR: AMD E1-6015";"PROCESADOR: AMD E1-6015";"PROCESADOR: AMD E1-6015";"PROCESADOR";"AMD E1-6015"
3642;"2T6";"00000002T6";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679634;"PROCESADOR: AMD E2-6110";"PROCESADOR: AMD E2-6110";"PROCESADOR: AMD E2-6110";"PROCESADOR";"AMD E2-6110"
3643;"2T7";"00000002T7";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679635;"PROCESADOR: AMD E2-7110";"PROCESADOR: AMD E2-7110";"PROCESADOR: AMD E2-7110";"PROCESADOR";"AMD E2-7110"
3644;"2T8";"00000002T8";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679636;"PROCESADOR: INTEL ATOM X5-Z8350";"PROCESADOR: INTEL ATOM X5-Z8350";"PROCESADOR: INTEL ATOM X5-Z8350";"PROCESADOR";"INTEL ATOM X5-Z8350"
3645;"2T9";"00000002T9";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679637;"PROCESADOR: INTEL CELERON 2955U";"PROCESADOR: INTEL CELERON 2955U";"PROCESADOR: INTEL CELERON 2955U";"PROCESADOR";"INTEL CELERON 2955U"
3646;"2TA";"00000002TA";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679638;"PROCESADOR: INTEL CELERON 2961Y";"PROCESADOR: INTEL CELERON 2961Y";"PROCESADOR: INTEL CELERON 2961Y";"PROCESADOR";"INTEL CELERON 2961Y"
3647;"2TB";"00000002TB";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679639;"PROCESADOR: INTEL CELERON 3205U";"PROCESADOR: INTEL CELERON 3205U";"PROCESADOR: INTEL CELERON 3205U";"PROCESADOR";"INTEL CELERON 3205U"
3648;"2TC";"00000002TC";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679640;"PROCESADOR: INTEL CELERON 3855U";"PROCESADOR: INTEL CELERON 3855U";"PROCESADOR: INTEL CELERON 3855U";"PROCESADOR";"INTEL CELERON 3855U"
3649;"2TD";"00000002TD";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679641;"PROCESADOR: INTEL CELERON N2830";"PROCESADOR: INTEL CELERON N2830";"PROCESADOR: INTEL CELERON N2830";"PROCESADOR";"INTEL CELERON N2830"
3650;"2TE";"00000002TE";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679642;"PROCESADOR: INTEL CELERON N2840 ";"PROCESADOR: INTEL CELERON N2840 ";"PROCESADOR: INTEL CELERON N2840 ";"PROCESADOR";"INTEL CELERON N2840 "
3651;"2TF";"00000002TF";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679643;"PROCESADOR: INTEL CELERON N2940";"PROCESADOR: INTEL CELERON N2940";"PROCESADOR: INTEL CELERON N2940";"PROCESADOR";"INTEL CELERON N2940"
3652;"2TG";"00000002TG";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679644;"PROCESADOR: INTEL CELERON N3050";"PROCESADOR: INTEL CELERON N3050";"PROCESADOR: INTEL CELERON N3050";"PROCESADOR";"INTEL CELERON N3050"
3653;"2TH";"00000002TH";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679645;"PROCESADOR: INTEL CELERON N3060";"PROCESADOR: INTEL CELERON N3060";"PROCESADOR: INTEL CELERON N3060";"PROCESADOR";"INTEL CELERON N3060"
3654;"2TI";"00000002TI";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679646;"PROCESADOR: INTEL CELERON N3150";"PROCESADOR: INTEL CELERON N3150";"PROCESADOR: INTEL CELERON N3150";"PROCESADOR";"INTEL CELERON N3150"
3655;"2TJ";"00000002TJ";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679647;"PROCESADOR: INTEL CELERON N3350";"PROCESADOR: INTEL CELERON N3350";"PROCESADOR: INTEL CELERON N3350";"PROCESADOR";"INTEL CELERON N3350"
3656;"2TK";"00000002TK";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679648;"PROCESADOR: INTEL CORE I3-3110M";"PROCESADOR: INTEL CORE I3-3110M";"PROCESADOR: INTEL CORE I3-3110M";"PROCESADOR";"INTEL CORE I3-3110M"
3657;"2TL";"00000002TL";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679649;"PROCESADOR: INTEL CORE I3-3120M";"PROCESADOR: INTEL CORE I3-3120M";"PROCESADOR: INTEL CORE I3-3120M";"PROCESADOR";"INTEL CORE I3-3120M"
3658;"2TM";"00000002TM";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679650;"PROCESADOR: INTEL CORE I3-3217U";"PROCESADOR: INTEL CORE I3-3217U";"PROCESADOR: INTEL CORE I3-3217U";"PROCESADOR";"INTEL CORE I3-3217U"
3659;"2TN";"00000002TN";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679651;"PROCESADOR: INTEL CORE I3-4000M";"PROCESADOR: INTEL CORE I3-4000M";"PROCESADOR: INTEL CORE I3-4000M";"PROCESADOR";"INTEL CORE I3-4000M"
3660;"2TO";"00000002TO";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679652;"PROCESADOR: INTEL CORE I3-4005U";"PROCESADOR: INTEL CORE I3-4005U";"PROCESADOR: INTEL CORE I3-4005U";"PROCESADOR";"INTEL CORE I3-4005U"
3661;"2TP";"00000002TP";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679653;"PROCESADOR: INTEL CORE I3-4010U";"PROCESADOR: INTEL CORE I3-4010U";"PROCESADOR: INTEL CORE I3-4010U";"PROCESADOR";"INTEL CORE I3-4010U"
3662;"2TQ";"00000002TQ";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679654;"PROCESADOR: INTEL CORE I3-4012Y";"PROCESADOR: INTEL CORE I3-4012Y";"PROCESADOR: INTEL CORE I3-4012Y";"PROCESADOR";"INTEL CORE I3-4012Y"
3663;"2TR";"00000002TR";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679655;"PROCESADOR: INTEL CORE I3-4020Y";"PROCESADOR: INTEL CORE I3-4020Y";"PROCESADOR: INTEL CORE I3-4020Y";"PROCESADOR";"INTEL CORE I3-4020Y"
3664;"2TS";"00000002TS";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679656;"PROCESADOR: INTEL CORE I3-4030U";"PROCESADOR: INTEL CORE I3-4030U";"PROCESADOR: INTEL CORE I3-4030U";"PROCESADOR";"INTEL CORE I3-4030U"
3665;"2TT";"00000002TT";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679657;"PROCESADOR: INTEL CORE I3-4100M";"PROCESADOR: INTEL CORE I3-4100M";"PROCESADOR: INTEL CORE I3-4100M";"PROCESADOR";"INTEL CORE I3-4100M"
3666;"2TU";"00000002TU";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679658;"PROCESADOR: INTEL CORE I3-5005U";"PROCESADOR: INTEL CORE I3-5005U";"PROCESADOR: INTEL CORE I3-5005U";"PROCESADOR";"INTEL CORE I3-5005U"
3667;"2TV";"00000002TV";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679659;"PROCESADOR: INTEL CORE I5-5300U";"PROCESADOR: INTEL CORE I5-5300U";"PROCESADOR: INTEL CORE I5-5300U";"PROCESADOR";"INTEL CORE I5-5300U"
3668;"2TW";"00000002TW";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679660;"PROCESADOR: INTEL CORE I5-6200U";"PROCESADOR: INTEL CORE I5-6200U";"PROCESADOR: INTEL CORE I5-6200U";"PROCESADOR";"INTEL CORE I5-6200U"
3669;"2TX";"00000002TX";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679661;"PROCESADOR: INTEL CORE I5-6300U";"PROCESADOR: INTEL CORE I5-6300U";"PROCESADOR: INTEL CORE I5-6300U";"PROCESADOR";"INTEL CORE I5-6300U"
3670;"2TY";"00000002TY";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679662;"PROCESADOR: INTEL CORE I5-6440HQ";"PROCESADOR: INTEL CORE I5-6440HQ";"PROCESADOR: INTEL CORE I5-6440HQ";"PROCESADOR";"INTEL CORE I5-6440HQ"
3671;"2TZ";"00000002TZ";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679663;"PROCESADOR: INTEL CORE I5-7200U";"PROCESADOR: INTEL CORE I5-7200U";"PROCESADOR: INTEL CORE I5-7200U";"PROCESADOR";"INTEL CORE I5-7200U"
3672;"2U0";"00000002U0";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679664;"PROCESADOR: INTEL CORE I7-4510U";"PROCESADOR: INTEL CORE I7-4510U";"PROCESADOR: INTEL CORE I7-4510U";"PROCESADOR";"INTEL CORE I7-4510U"
3673;"2U1";"00000002U1";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679665;"PROCESADOR: INTEL CORE I7-4600M";"PROCESADOR: INTEL CORE I7-4600M";"PROCESADOR: INTEL CORE I7-4600M";"PROCESADOR";"INTEL CORE I7-4600M"
3674;"2U2";"00000002U2";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679666;"PROCESADOR: INTEL CORE I7-4600U";"PROCESADOR: INTEL CORE I7-4600U";"PROCESADOR: INTEL CORE I7-4600U";"PROCESADOR";"INTEL CORE I7-4600U"
3675;"2U3";"00000002U3";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679667;"PROCESADOR: INTEL CORE I7-4610M";"PROCESADOR: INTEL CORE I7-4610M";"PROCESADOR: INTEL CORE I7-4610M";"PROCESADOR";"INTEL CORE I7-4610M"
3676;"2U4";"00000002U4";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679668;"PROCESADOR: INTEL CORE I7-4650U";"PROCESADOR: INTEL CORE I7-4650U";"PROCESADOR: INTEL CORE I7-4650U";"PROCESADOR";"INTEL CORE I7-4650U"
3677;"2U5";"00000002U5";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679669;"PROCESADOR: INTEL CORE I7-4700MQ";"PROCESADOR: INTEL CORE I7-4700MQ";"PROCESADOR: INTEL CORE I7-4700MQ";"PROCESADOR";"INTEL CORE I7-4700MQ"
3678;"2U6";"00000002U6";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679670;"PROCESADOR: INTEL CORE I7-4702MQ";"PROCESADOR: INTEL CORE I7-4702MQ";"PROCESADOR: INTEL CORE I7-4702MQ";"PROCESADOR";"INTEL CORE I7-4702MQ"
3679;"2U7";"00000002U7";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679671;"PROCESADOR: INTEL CORE I7-4710HQ";"PROCESADOR: INTEL CORE I7-4710HQ";"PROCESADOR: INTEL CORE I7-4710HQ";"PROCESADOR";"INTEL CORE I7-4710HQ"
3680;"2U8";"00000002U8";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679672;"PROCESADOR: INTEL CORE I7-4710MQ";"PROCESADOR: INTEL CORE I7-4710MQ";"PROCESADOR: INTEL CORE I7-4710MQ";"PROCESADOR";"INTEL CORE I7-4710MQ"
3681;"2U9";"00000002U9";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679673;"PROCESADOR: INTEL CORE I7-4720HQ";"PROCESADOR: INTEL CORE I7-4720HQ";"PROCESADOR: INTEL CORE I7-4720HQ";"PROCESADOR";"INTEL CORE I7-4720HQ"
3682;"2UA";"00000002UA";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679674;"PROCESADOR: INTEL CORE I7-5500U";"PROCESADOR: INTEL CORE I7-5500U";"PROCESADOR: INTEL CORE I7-5500U";"PROCESADOR";"INTEL CORE I7-5500U"
3683;"2UB";"00000002UB";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679675;"PROCESADOR: INTEL CORE I7-5600U";"PROCESADOR: INTEL CORE I7-5600U";"PROCESADOR: INTEL CORE I7-5600U";"PROCESADOR";"INTEL CORE I7-5600U"
3684;"2UC";"00000002UC";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679676;"PROCESADOR: INTEL CORE I7-6500U";"PROCESADOR: INTEL CORE I7-6500U";"PROCESADOR: INTEL CORE I7-6500U";"PROCESADOR";"INTEL CORE I7-6500U"
3685;"2UD";"00000002UD";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679677;"PROCESADOR: INTEL CORE I7-6600U";"PROCESADOR: INTEL CORE I7-6600U";"PROCESADOR: INTEL CORE I7-6600U";"PROCESADOR";"INTEL CORE I7-6600U"
3686;"2UE";"00000002UE";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679678;"PROCESADOR: INTEL CORE I7-6700HQ";"PROCESADOR: INTEL CORE I7-6700HQ";"PROCESADOR: INTEL CORE I7-6700HQ";"PROCESADOR";"INTEL CORE I7-6700HQ"
3687;"2UF";"00000002UF";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679679;"PROCESADOR: INTEL CORE I7-6820HQ";"PROCESADOR: INTEL CORE I7-6820HQ";"PROCESADOR: INTEL CORE I7-6820HQ";"PROCESADOR";"INTEL CORE I7-6820HQ"
3688;"2UG";"00000002UG";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679680;"PROCESADOR: INTEL CORE I7-7500U";"PROCESADOR: INTEL CORE I7-7500U";"PROCESADOR: INTEL CORE I7-7500U";"PROCESADOR";"INTEL CORE I7-7500U"
3689;"2UH";"00000002UH";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679681;"PROCESADOR: INTEL CORE M3-6Y30";"PROCESADOR: INTEL CORE M3-6Y30";"PROCESADOR: INTEL CORE M3-6Y30";"PROCESADOR";"INTEL CORE M3-6Y30"
3690;"2UI";"00000002UI";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679682;"PROCESADOR: INTEL CORE M5-6Y54";"PROCESADOR: INTEL CORE M5-6Y54";"PROCESADOR: INTEL CORE M5-6Y54";"PROCESADOR";"INTEL CORE M5-6Y54"
3691;"2UJ";"00000002UJ";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679683;"PROCESADOR: INTEL CORE M-5Y10C";"PROCESADOR: INTEL CORE M-5Y10C";"PROCESADOR: INTEL CORE M-5Y10C";"PROCESADOR";"INTEL CORE M-5Y10C"
3692;"2UK";"00000002UK";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679684;"PROCESADOR: INTEL CORE M-5Y51";"PROCESADOR: INTEL CORE M-5Y51";"PROCESADOR: INTEL CORE M-5Y51";"PROCESADOR";"INTEL CORE M-5Y51"
3693;"2UL";"00000002UL";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679685;"PROCESADOR: INTEL CORE M-5Y71";"PROCESADOR: INTEL CORE M-5Y71";"PROCESADOR: INTEL CORE M-5Y71";"PROCESADOR";"INTEL CORE M-5Y71"
3694;"2UM";"00000002UM";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679686;"PROCESADOR: INTEL CORE M7-6Y75";"PROCESADOR: INTEL CORE M7-6Y75";"PROCESADOR: INTEL CORE M7-6Y75";"PROCESADOR";"INTEL CORE M7-6Y75"
3695;"2UN";"00000002UN";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679687;"PROCESADOR: INTEL PENTIUM 3805U";"PROCESADOR: INTEL PENTIUM 3805U";"PROCESADOR: INTEL PENTIUM 3805U";"PROCESADOR";"INTEL PENTIUM 3805U"
3696;"2UO";"00000002UO";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679688;"PROCESADOR: INTEL PENTIUM N3520";"PROCESADOR: INTEL PENTIUM N3520";"PROCESADOR: INTEL PENTIUM N3520";"PROCESADOR";"INTEL PENTIUM N3520"
3697;"2UP";"00000002UP";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679689;"PROCESADOR: INTEL PENTIUM N3700";"PROCESADOR: INTEL PENTIUM N3700";"PROCESADOR: INTEL PENTIUM N3700";"PROCESADOR";"INTEL PENTIUM N3700"
3698;"2UQ";"00000002UQ";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679690;"PROCESADOR: INTEL PENTIUM N3710";"PROCESADOR: INTEL PENTIUM N3710";"PROCESADOR: INTEL PENTIUM N3710";"PROCESADOR";"INTEL PENTIUM N3710"
3699;"2UR";"00000002UR";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679691;"PROCESADOR: INTEL XEON E3-1505M V5";"PROCESADOR: INTEL XEON E3-1505M V5";"PROCESADOR: INTEL XEON E3-1505M V5";"PROCESADOR";"INTEL XEON E3-1505M V5"
3700;"2US";"00000002US";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679692;"PROCESADOR: NVIDIA TEGRA K1 CD570M";"PROCESADOR: NVIDIA TEGRA K1 CD570M";"PROCESADOR: NVIDIA TEGRA K1 CD570M";"PROCESADOR";"NVIDIA TEGRA K1 CD570M"
3701;"2UT";"00000002UT";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679693;"PROCESADOR: AMD A10-9600P APU";"PROCESADOR: AMD A10-9600P APU";"PROCESADOR: AMD A10-9600P APU";"PROCESADOR";"AMD A10-9600P APU"
3702;"2UU";"00000002UU";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679694;"PROCESADOR: AMD A8-9600B";"PROCESADOR: AMD A8-9600B";"PROCESADOR: AMD A8-9600B";"PROCESADOR";"AMD A8-9600B"
3703;"2UV";"00000002UV";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679695;"PROCESADOR: INTEL CORE I3-6006U";"PROCESADOR: INTEL CORE I3-6006U";"PROCESADOR: INTEL CORE I3-6006U";"PROCESADOR";"INTEL CORE I3-6006U"
3704;"2UW";"00000002UW";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679697;"PROCESADOR: AMD A9-9420";"PROCESADOR: AMD A9-9420";"PROCESADOR: AMD A9-9420";"PROCESADOR";"AMD A9-9420"
3705;"2UX";"00000002UX";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679698;"PROCESADOR: INTEL XEON E3-1275 V6";"PROCESADOR: INTEL XEON E3-1275 V6";"PROCESADOR: INTEL XEON E3-1275 V6";"PROCESADOR";"INTEL XEON E3-1275 V6"
3706;"2UY";"00000002UY";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679699;"PROCESADOR: INTEL XEON E3-1505M V6";"PROCESADOR: INTEL XEON E3-1505M V6";"PROCESADOR: INTEL XEON E3-1505M V6";"PROCESADOR";"INTEL XEON E3-1505M V6"
3707;"2UZ";"00000002UZ";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679700;"PROCESADOR: INTEL CORE I7-7700HQ";"PROCESADOR: INTEL CORE I7-7700HQ";"PROCESADOR: INTEL CORE I7-7700HQ";"PROCESADOR";"INTEL CORE I7-7700HQ"
3708;"2V0";"00000002V0";"COMPUTADORA PORTATIL";26324;"PROCESADOR";1679701;"PROCESADOR: INTEL CORE I7-8550";"PROCESADOR: INTEL CORE I7-8550";"PROCESADOR: INTEL CORE I7-8550";"PROCESADOR";"INTEL CORE I7-8550"
