idProcc,ValProcc,ValPdf,launchDate
3707719,PROCESADOR: INTEL XEON W9-3475X,Intel® Xeon® W9-3475X,2023
3707720,PROCESADOR: INTEL XEON W9-3495X,Intel® Xeon® W9-3495X,2023
3707721,PROCESADOR: INTEL XEON W9-3575X,Intel® Xeon® W9-3575X,2023
3707722,PROCESADOR: INTEL XEON W9-3595X,Intel® Xeon® W9-3595X,2023
3707723,PROCESADOR: INTEL CORE I7-14900,Intel® Core™ I7-14900,2023
3707724,PROCESADOR: INTEL CORE I7-14900K,Intel® Core™ I7-14900K,2023
3707725,PROCESADOR: INTEL XEON SILVER 4410Y,Intel® Xeon® Silver 4410Y,2023
3707726,PROCESADOR: INTEL XEON SILVER 4510,Intel® Xeon® Silver 4510,2023
3707727,PROCESADOR: INTEL XEON SILVER 4514Y,Intel® Xeon® Silver 4514Y,2023
3707728,PROCESADOR: INTEL XEON SILVER 4516Y+,Intel® Xeon® Silver 4516Y+,2023
3707729,PROCESADOR: INTEL XEON GOLD 6530,Intel® Xeon® Gold 6530,2023
3707730,PROCESADOR: INTEL XEON GOLD 6542Y,Intel® Xeon® Gold 6542Y,2023
3707731,PROCESADOR: INTEL XEON GOLD 5320,Intel® Xeon® Gold 5320,2021
3678387,PROCESADOR: INTEL CORE I9 14900T,Intel® Core™ I9 14900T,2024
3678386,PROCESADOR: INTEL CORE I7 14700T,Intel® Core™ I7 14700T,2024
3678385,PROCESADOR: INTEL CORE I9 14900,Intel® Core™ I9 14900,2024
3678384,PROCESADOR: INTEL CORE I7 14700,Intel® Core™ I7 14700,2024
3678383,PROCESADOR: INTEL CORE I5 14400,Intel® Core™ I5 14400,2024
3678382,PROCESADOR: INTEL CORE I3 14100,Intel® Core™ I3 14100,2024
3678381,PROCESADOR: INTEL CORE I9 13900,Intel® Core™ I9 13900,2022
3678380,PROCESADOR: INTEL CORE I7 13700,Intel® Core™ I7 13700,2022
3678379,PROCESADOR: INTEL CORE I5 13400,Intel® Core™ I5 13400,2023
3678378,PROCESADOR: INTEL CORE I3 13100,Intel® Core™ I3 13100,2023
3678377,PROCESADOR: INTEL CORE I9-14900,Intel® Core™ I9-14900,2024
3678376,PROCESADOR: INTEL CORE I9-13900,Intel® Core™ I9-13900,2022
3678375,PROCESADOR: INTEL CORE I9-12900,Intel® Core™ I9-12900,2021
3678374,PROCESADOR: INTEL CORE I7-14700T,Intel® Core™ I7-14700T,2024
3678373,PROCESADOR: INTEL CORE I7-13700T,Intel® Core™ I7-13700T,2023
3678372,PROCESADOR: INTEL CORE I7-12700T,Intel® Core™ I7-12700T,2022
3678371,PROCESADOR: INTEL CORE I5-14600T,Intel® Core™ I5-14600T,2024
3678370,PROCESADOR: INTEL CORE I5-14600,Intel® Core™ I5-14600,2024
3678369,PROCESADOR: INTEL CORE I5-14500T,Intel® Core™ I5-14500T,2023
3678368,PROCESADOR: INTEL CORE I5-14400T,Intel® Core™ I5-14400T,2024
3678367,PROCESADOR: INTEL CORE I5-13600T,Intel® Core™ I5-13600T,2023
3678366,PROCESADOR: INTEL CORE I5-13600,Intel® Core™ I5-13600,2022
3678365,PROCESADOR: INTEL CORE I5-13500T,Intel® Core™ I5-13500T,2023
3678364,PROCESADOR: INTEL CORE I5-13400T,Intel® Core™ I5-13400T,2023
3678363,PROCESADOR: INTEL CORE I5-12600T,Intel® Core™ I5-12600T,2022
3678362,PROCESADOR: INTEL CORE I5-12600,Intel® Core™ I5-12600,2022
3678361,PROCESADOR: INTEL CORE I5-12500T,Intel® Core™ I5-12500T,2022
3678360,PROCESADOR: INTEL CORE I5-12400T,Intel® Core™ I5-12400T,2022
3678359,PROCESADOR: INTEL CORE I3-14100T,Intel® Core™ I3-14100T,2024
3678358,PROCESADOR: INTEL CORE I7-1360P,Intel® Core™ I7-1360P,2023
3678357,PROCESADOR: INTEL CORE I7-1355U,Intel® Core™ I7-1355U,2023
3678356,PROCESADOR: NTEL CORE I7-12700T,Intel® Core™ I7-12700T,2022
3678355,PROCESADOR: INTEL CORE I7-12700,Intel® Core™ I7-12700,2022
3678354,PROCESADOR: INTEL CORE I7-1255U,Intel® Core™ I7-1255U,2022
3678353,PROCESADOR: INTEL CORE I5-14500,Intel® Core™ I5-14500,2024
3678352,PROCESADOR: INTEL CORE I5-14400,Intel® Core™ I5-14400,2024
3678351,PROCESADOR: NTEL CORE I5-13500T,Intel® Core™ I5-13500T,2023
3678350,PROCESADOR: INTEL CORE I5-13500,Intel® Core™ I5-13500,2023
3678349,PROCESADOR: NTEL CORE I5-13420H,Intel® Core™ I5-13420H,2023
3678348,PROCESADOR: INTEL CORE I5-1340P,Intel® Core™ I5-1340P,2023
3678347,PROCESADOR: INTEL CORE I5-13400,Intel® Core™ I5-13400,2023
3678346,PROCESADOR: INTEL CORE I5-1335U,Intel® Core™ I5-1335U,2023
3678345,PROCESADOR: NTEL CORE I5-12500T,Intel® Core™ I5-12500T,2022
3678344,PROCESADOR: INTEL CORE I5-12500,Intel® Core™ I5-12500,2022
3678343,PROCESADOR: INTEL CORE I5-1240P,Intel® Core™ I5-1240P,2022
3678342,PROCESADOR: INTEL CORE I5-12400,Intel® Core™ I5-12400,2022
3678341,PROCESADOR: INTEL CORE I5-1235U,Intel® Core™ I5-1235U,2022
3678340,PROCESADOR: INTEL CORE I3-1315U,Intel® Core™ I3-1315U,2023
3708626,PROCESADOR: AMD RYZEN™ 5 7530U,AMD Ryzen™ 5 7530U,2023
3708627,PROCESADOR: AMD RYZEN™ 5 7535U,AMD Ryzen™ 5 7535U,2023
3708628,PROCESADOR: AMD RYZEN™ 5 7540U,AMD Ryzen™ 5 7540U,2023
3708629,PROCESADOR: AMD RYZEN™ 5 7545U,AMD Ryzen™ 5 7545U,2023
3708630,PROCESADOR: AMD RYZEN™ 5 8540U,AMD Ryzen™ 5 8540U,2024
3708631,PROCESADOR: AMD RYZEN™ 5 8640U,AMD Ryzen™ 5 8640U,2024
3708632,PROCESADOR: AMD RYZEN™ 5 PRO 5650U,AMD Ryzen™ 5 PRO 5650U,2021
3708633,PROCESADOR: AMD RYZEN™ 5 PRO 5675U,AMD Ryzen™ 5 PRO 5675U,2022
3708634,PROCESADOR: AMD RYZEN™ 5 PRO 6650U,AMD Ryzen™ 5 PRO 6650U,2022
3708635,PROCESADOR: AMD RYZEN™ 5 PRO 7530U,AMD Ryzen™ 5 PRO 7530U,2023
3708636,PROCESADOR: AMD RYZEN™ 5 PRO 7535U,AMD Ryzen™ 5 PRO 7535U,2023
3708637,PROCESADOR: AMD RYZEN™ 5 PRO 7540U,AMD Ryzen™ 5 PRO 7540U,2023
3708638,PROCESADOR: AMD RYZEN™ 5 PRO 7545U,AMD Ryzen™ 5 PRO 7545U,2023
3708639,PROCESADOR: AMD RYZEN™ 5 PRO 8640HS,AMD Ryzen™ 5 PRO 8640HS,2023
3708640,PROCESADOR: AMD RYZEN™ 7 5700U,AMD Ryzen™ 7 5700U,2021
3708641,PROCESADOR: AMD RYZEN™ 7 5800U,AMD Ryzen™ 7 5800U,2021
3708642,PROCESADOR: AMD RYZEN™ 7 5825C,AMD Ryzen™ 7 5825C,2022
3708643,PROCESADOR: AMD RYZEN™ 7 5825U,AMD Ryzen™ 7 5825U,2022
